episode,reward,mean_reward
0,0.06666666666666665,0.06666666666666665
1,0.0,0.033333333333333326
2,0.7333333333333335,0.2666666666666667
3,0.03333333333333336,0.20833333333333337
4,0.03333333333333336,0.17333333333333337
5,0.2666666666666666,0.18888888888888888
6,0.06666666666666665,0.17142857142857143
7,0.03333333333333336,0.15416666666666667
8,0.7333333333333334,0.21851851851851853
9,0.2999992039110067,0.22666658705776738
10,0.03333333333333336,0.20909083671918244
11,0.9999999999992628,0.2749999336591891
12,0.7333333333333334,0.3102563490187387
13,0.03333333333333336,0.2904761336126383
14,0.03333333333333336,0.27333328026068465
15,0.03333333333333336,0.25833328357772517
16,0.16834438484927058,0.2530398189466396
17,0.1733333332987106,0.24861168085508803
18,0.7333333333333334,0.27412334677499567
19,0.03438458652545506,0.26213640876251865
20,0.33333333333239806,0.2655267385039415
21,0.06666666666666665,0.25648764432951987
22,0.966666554598707,0.28736498825426715
23,0.9134628294673343,0.3134523983048116
24,0.03333333333333336,0.3022476357059525
25,0.7333333333333334,0.3188278548454671
26,0.03333333333333336,0.30825398367835105
27,0.06666666666666665,0.29962586521364803
28,0.03333333333333336,0.2904433641143268
29,0.06666666666666665,0.2829841408660715
30,0.7333333333333346,0.29751153417146703
31,0.10666666666659119,0.2915476320619397
32,0.9666213028736724,0.3120044099653255
33,0.03333333333333336,0.30380820182909046
34,0.03333333333333336,0.2960803484434974
35,0.03333333333333336,0.28878182024599286
36,0.7333334369598954,0.30079672880582803
37,0.31577503270943025,0.3011908946980281
38,0.03333333333333336,0.2943227520989334
39,0.0,0.28696468329646
40,0.03333333333333336,0.2807785528095545
41,0.03333333333333336,0.2748869999648826
42,0.03333333333333336,0.2692694728339163
43,0.8333325465059992,0.28208908814464545
44,0.03333333333333336,0.2765611824821719
45,0.03333333333333336,0.27127362054415366
46,0.7333333333644968,0.2811046782637354
47,0.2999947197162611,0.2814982207939964
48,0.7333333333644968,0.29071934554033313
49,0.7333333333333334,0.2995716252961931
50,0.03333333333333336,0.2943512666302547
51,0.06666666666666665,0.2899727166309549
52,0.06666666666666665,0.2857593949335155
53,0.03333333333333336,0.2810848382372158
54,0.06666666666666665,0.2771863260268422
55,0.13999930752196596,0.27473655783925516
56,0.03333333333333336,0.27050141354967755
57,0.7333333333333334,0.27848127423560265
58,0.1399999999999626,0.27613413399432063
59,0.7333341202475384,0.2837541337652076
60,0.0,0.2791024266543025
61,0.17333333333329337,0.2773964735362217
62,0.13854825203560597,0.2751925335124024
63,0.06666666666666665,0.2719343168429378
64,0.0,0.26775071196843103
65,0.06666666666719882,0.2647039840093215
66,0.9999999997945158,0.27567855140910047
67,0.7994193413135964,0.28338062184887247
68,0.06666666666666665,0.28023983988971
69,0.03333333333333336,0.27671260408176185
70,0.03333333333333336,0.2732847270289671
71,0.03333333333333336,0.26995206878319444
72,0.13859988962831848,0.2681527238632646
73,0.03333333333333336,0.2649794888561034
74,0.03333333333333336,0.26189087344913314
75,0.9328613320179301,0.27071943211451205
76,0.0,0.26720359533380406
77,0.1733333333332959,0.26600013043636167
78,0.13860621233175938,0.2643875491945312
79,0.7333333351303765,0.2702493715187293
80,0.7333333333333346,0.2759664574670578
81,0.03333333333333336,0.2730075169288416
82,0.03333333333333336,0.2701198761626307
83,0.03333333333333336,0.26730098874799624
84,0.03333333333333336,0.26454842809605905
85,0.33333333333239,0.2653482525755513
86,0.7333333333333334,0.27072739143483615
87,0.29952787304988765,0.27105466963500713
88,0.03333333333333336,0.26838364338442655
89,0.9662087361879501,0.27613725552668794
90,0.29999999999998767,0.276399483487933
91,0.33333324176513485,0.27701832868659826
92,0.03333333333333336,0.27439805991935884
93,0.2666665538491824,0.27431580985478254
94,0.7333333333364833,0.27914757325985307
95,0.03333333333333336,0.2765870082606185
96,0.7333333333333334,0.28129573326136814
97,0.03333333333333336,0.2787655046906739
98,0.03333333333333336,0.2762863918486806
99,0.03333333333333336,0.27385686126352715
