rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/clip_range,train/entropy_loss,train/explained_variance,train/loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/n_updates
8.75,38,1,7.53083335,2048,52,,,,,,,,,,
8.14,38,2,6.992500050000001,4096,106,0.2,-1.598835818655789,0.007916152477264404,0.378879189491272,0.0005,0.01189648,0.160546875,-0.014544675304205158,0.7278554199961945,10
9.81,38,3,8.600416650000001,6144,159,0.2,-1.5750412018969655,0.17010927200317383,0.35241666436195374,0.0005,0.021314936,0.24853515625,-0.02288777889916673,0.7830610980745405,20
9.6,38,4,8.39749999,8192,213,0.2,-1.5265391586348414,0.20424896478652954,0.3490959703922272,0.0005,0.020448431,0.278857421875,-0.017133478562755045,0.5849647256429307,30
10.38,38,5,9.169583349999998,10240,266,0.2,-1.4847109392285347,0.18587452173233032,0.5708149671554565,0.0005,0.022516016,0.33662109375,-0.019130214727920248,0.5351888154866173,40
10.33,38,6,9.10791668,12288,320,0.2,-1.4267185924574732,0.12029623985290527,0.06036630645394325,0.0005,0.025010612,0.34375,-0.02038054630429542,0.38975181843270545,50
10.6,38,7,9.48375002,14336,374,0.2,-1.3405201328918337,0.15206676721572876,0.0796816274523735,0.0005,0.026207551,0.379345703125,-0.017991219953546533,0.3429064858995844,60
10.54,38,8,9.40583333,16384,429,0.2,-1.2611310137435794,0.1350651979446411,0.37025225162506104,0.0005,0.027919255,0.30400390625,-0.01396621824023896,0.2891699584492017,70
10.34,38,9,9.289166670000002,18432,484,0.2,-1.2091253653168679,0.15514004230499268,-0.0018326826393604279,0.0005,0.019083593,0.286865234375,-0.011368293003033613,0.2992444213683484,80
10.39,37,10,9.42083332,20480,539,0.2,-1.217823533900082,0.17997097969055176,0.3246433436870575,0.0005,0.020940661,0.246484375,-0.012295152719889301,0.4067996395751834,90
