time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/n_updates,train/learning_rate,train/explained_variance,train/clip_fraction,train/entropy_loss,train/clip_range,train/loss,train/approx_kl
45,45,2048,10.43,1,7.728821290000001,,,,,,,,,,
90,45,4096,13.76,2,10.35957243,-0.01958773669466609,0.9357493564486503,10,0.0005,0.012863874435424805,0.210400390625,-1.5973440561443568,0.2,0.2725411057472229,0.013022456
135,45,6144,15.99,3,11.819523339999998,-0.023396158994682992,0.8812250776216388,20,0.0005,0.20248836278915405,0.2716796875,-1.566462135873735,0.2,0.39036160707473755,0.01482853
180,45,8192,18.88,4,14.044332210000002,-0.01983780511945952,0.7161830794764683,30,0.0005,0.21054059267044067,0.25703125,-1.5213300338014961,0.2,0.2866906225681305,0.0164436
225,45,10240,23.11,5,17.0185596,-0.021156656631501392,0.6251106226234697,40,0.0005,0.2733120918273926,0.249169921875,-1.4385911799967288,0.2,0.5131015181541443,0.013604803
270,45,12288,21.64,6,15.97566119,-0.007730833286041161,0.3782412495173048,50,0.0005,0.24192380905151367,0.16806640625,-1.3791962921619416,0.2,0.06478016823530197,0.011386196
315,45,14336,21.38,7,15.733443019999998,-0.010576915420824663,0.433442345703952,60,0.0005,0.1995917558670044,0.18984375,-1.3645804392173886,0.2,0.15598589181900024,0.016369544
360,45,16384,22.68,8,16.77950815,-0.012816211032986757,0.4633273207815364,70,0.0005,0.21080493927001953,0.21552734375,-1.3231302974745631,0.2,0.1017763763666153,0.0132112065
405,45,18432,24.59,9,18.313945790000002,-0.0063165036091959335,0.3444996096775867,80,0.0005,0.27800852060317993,0.183984375,-1.318694038130343,0.2,0.1558321714401245,0.011518724
450,45,20480,24.12,10,18.01819944,-0.013332223901670659,0.2761894231720362,90,0.0005,0.34437865018844604,0.218017578125,-1.2931869959458708,0.2,0.0788007453083992,0.02732005
