time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/learning_rate,train/approx_kl
86,2048,1,1.25695205,23,10.0,,,,,,,,,,
172,4096,2,1.1328935199999999,23,8.69,-0.025339411979803116,-1.0789680125191807,-0.0211869478225708,0.2,10,1.1788287162780762,0.320947265625,2.561614709533751,0.0005,0.021422958
254,6144,3,2.16332382,24,8.16,-0.023151566206070128,-1.0054791972972452,0.15271902084350586,0.2,20,1.0539805889129639,0.285693359375,3.3185772629454733,0.0005,0.039183665
337,8192,4,3.26824309,24,7.78,-0.02435386044817278,-0.9272051422856749,0.21793615818023682,0.2,30,2.070150375366211,0.255224609375,3.7851608749479055,0.0005,0.0290832
418,10240,5,2.56240467,24,7.39,-0.014520672687649495,-0.8585318173281848,0.21396398544311523,0.2,40,1.4586366415023804,0.175390625,4.515666165202856,0.0005,0.023106277
502,12288,6,3.44093477,24,7.53,-0.016563549717102433,-0.8242002034559845,0.15960925817489624,0.2,50,1.6062099933624268,0.19912109375,4.9672886621206995,0.0005,0.020423196
586,14336,7,4.15500636,24,7.79,-0.01328812361243763,-0.7755593720823526,0.17245066165924072,0.2,60,2.001302719116211,0.198583984375,4.237368945963681,0.0005,0.019065369
670,16384,8,4.660897639999999,24,7.78,-0.013666771579300985,-0.7342613055370748,0.18576163053512573,0.2,70,2.57025146484375,0.172265625,4.714090514555574,0.0005,0.020284008
750,18432,9,3.74367029,24,7.29,-0.007009249935799744,-0.7173041106201709,0.1402040719985962,0.2,80,3.040311098098755,0.13779296875,4.99564932435751,0.0005,0.014226915
830,20480,10,3.68801833,24,7.22,-0.011469755035068373,-0.703178241290152,0.18287497758865356,0.2,90,1.861731767654419,0.16640625,4.41442355401814,0.0005,0.019222476
